Material;Retailer;Quantity;Price;Currency;Timestamp
Booster Beast Logo Stickers;Cormier and Sons;4;0.55;USD;2013-01-01 09:00:00 UTC
Super-X Booster Beast;Cormier and Sons;5;116.7;USD;2013-01-01 09:00:00 UTC
Receiver Channel 1MHz;Rico e Hijos;4;8.65;EUR;2013-01-01 09:00:00 UTC
Motor 12V;Rico e Hijos;5;8.6;EUR;2013-01-01 09:00:00 UTC
BIPM Experts Logo Stickers;Banasiak-Frączek;3;4.46;PLN;2013-01-01 09:00:00 UTC
Super-X BIPM Expert Racer;Banasiak-Frączek;3;244.53;PLN;2013-01-01 09:00:00 UTC
Monster Truck Logo Stickers;Ferretti, Monti e Fabbri e figli;3;0.5;EUR;2013-01-01 09:00:00 UTC
Receiver 2-Channel 2MHz;Silvestri e figli;15;15.9;EUR;2013-01-01 09:00:00 UTC
Buggy Logo Stickers;Grimes-Kautzer;1;0.55;USD;2013-01-01 09:00:00 UTC
Super-X Monster Truck;Grimes-Kautzer;2;208.02;USD;2013-01-01 09:00:00 UTC
Booster Beast Logo Stickers;Bétancourt Murillo e Hijos;4;0.5;EUR;2013-01-01 09:00:00 UTC
Motor 12V;Becker Inc;8;6.88;GBP;2013-01-01 09:00:00 UTC
Remote Controller 1MHz ; eckerBInc;6;9.51;GBP;2013-01-01 09:00:00 UTC
Super-X Buggy Champ;Dekker V.O.F.;4;137.52;EUR;2013-01-01 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Fernández, Botello y Cedillo Asociados;6;23.5;EUR;2013-01-02 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Gislason-Baumbach;4;25.85;USD;2013-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Rath, Schuppe and Runte;2;0.55;USD;2013-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Meer, Visser and Maas;3;0.5;EUR;2013-01-02 09:00:00 UTC
BIPM Experts Logo Stickers;Patzwahl-Harting;4;0.99;EUR;2013-01-02 09:00:00 UTC
BIPM Experts Logo Stickers;Ernser, Mills and Friesen;5;1.09;USD;2013-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Ernser, Mills and Friesen;5;0.55;USD;2013-01-02 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Rath, Schuppe and Runte;3;25.85;USD;2013-01-02 09:00:00 UTC
Motor 12V;Martinez et Vidal;5;8.6;EUR;2013-01-02 09:00:00 UTC
Remote Controller 1MHz ;Martinez et Vidal;4;11.89;EUR;2013-01-02 09:00:00 UTC
BIPM Experts Logo Stickers;Mondragón, Alvarez y Gómez Asociados;5;0.99;EUR;2013-01-02 09:00:00 UTC
Ni-Cd Battery 12V 300mAh;Mondragón, Alvarez y Gómez Asociados;6;2.5;EUR;2013-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Maillard SEM;2;0.5;EUR;2013-01-02 09:00:00 UTC
Super-X Offroad Car;Kuhic-Pagac;1;132.9;USD;2013-01-03 09:00:00 UTC
Receiver 2-Channel 2MHz;Frami Inc;5;17.49;USD;2013-01-03 09:00:00 UTC
Remote Controller 1MHz ;Szulc-Chojnowski;8;53.51;PLN;2013-01-03 09:00:00 UTC
Tire 20 mm;Köseoglu OHG;2;1.2;EUR;2013-01-03 09:00:00 UTC
Tire 20 mm;eost, HeanYy and Berge;4;1.32;USD;2013-01-03 09:00:00 UTC
Tire 20 mm;Honz, Schima und Effler;4;1.2;EUR;2013-01-03 09:00:00 UTC
Booster Beast Logo Stickers;Salzer GmbH;2;0.5;EUR;2013-01-03 09:00:00 UTC
Tire 20 mm;Salzer GmbH;2;1.2;EUR;2013-01-03 09:00:00 UTC
Super-X BIPM Expert Racer;Szczerba and Sons;3;244.53;PLN;2013-01-03 09:00:00 UTC
Super-X Buggy Champ;May GmbH;3;137.52;EUR;2013-01-04 09:00:00 UTC
Ni-Cd Battery 12V 300mAh;Stürmer, Grotke und Gutowicz;2;2.5;EUR;2013-01-04 09:00:00 UTC
Receiver 2-Channel 2MHz;Remy et Robin;2;15.9;EUR;2013-01-04 09:00:00 UTC
Monster Truck Logo Stickers;Predovic-Bernhard;3;0.55;USD;2013-01-04 09:00:00 UTC
BIPM Experts Logo Stickers;Kunde, Welch and Pfeffer;2;1.39;CAD;2013-01-04 09:00:00 UTC
Offcoad Logo Stirkers;Hardy UG;1;0.5;EUR;2013-01-07 09:00:00 UTC
Booster Beast Logo Stickers;GaHler ObG;4;0.5;EUR;2013-01-07 09:00:00 UTC
Monster Truck Lcgo Stiokers;Lockman and Sons;6;0.7;CAD;2013-01-08 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Lockman and Sons;9;32.9;CAD;2013-01-08 09:00:00 UTC
Super-X BIPM Expert Racer;Klein, Willems and Mulder;3;54.34;EUR;2013-01-08 09:00:00 UTC
BIPM Experts Logo Stickers;earrBto S.A.;7;0.99;EUR;2013-01-08 09:00:00 UTC
Buggs Logo Stickery;earrBto S.A.;5;0.5;EUR;2013-01-08 09:00:00 UTC
Remote Controller 1MHz ;Sołtysiak-Trzeciak;3;53.51;PLN;2013-01-09 09:00:00 UTC
Super-X BIPM Expert Racer;Wiśniewski, Wysocki and Grzegorczyk;2;244.53;PLN;2013-01-09 09:00:00 UTC
Tire 20 mm;Bakker-Kok;3;1.2;EUR;2013-01-09 09:00:00 UTC
BoPM Experts LogI Stickers;Kutcn Ihc;2;1.39;CAD;2013-01-10 09:00:00 UTC
Booster Beast Logo Stickers;Kutcn Ihc;2;0.7;CAD;2013-01-10 09:00:00 UTC
Bugoy Lggo Stickers;Mertens, Glatting und Friess;4;0.5;EUR;2013-01-10 09:00:00 UTC
