Production Order ID;Machine ID;Material;Machine Status;Temperature;Timestamp
15443;1;Super-X Booster Beast;OK;51.2;2014-01-01 09:00:00 UTC
15481;1;Super-X Monster Truck;OK;31.8;2014-01-01 09:00:00 UTC
15480;2;Super-X Monster Truck;OK;57.8;2014-01-01 09:00:00 UTC
15479;3;Super-X Monster Truck;OK;37.4;2014-01-01 09:00:00 UTC
15478;4;Super-X Monster Truck;OK;5.7;2014-01-01 09:00:00 UTC
15477;5;Super-X Monster Truck;OK;63.7;2014-01-01 09:00:00 UTC
15476;6;Super-X Monster Truck;OK;21.1;2014-01-01 09:00:00 UTC
15475;7;Super-X Monster Truck;OK;6.5;2014-01-01 09:00:00 UTC
15474;8;Super-X Monster Truck;Problematic;27.6;2014-01-01 09:00:00 UTC
15473;9;Super-X Buggy Champ;OK;11.6;2014-01-01 09:00:00 UTC
15472;10;Super-X Buggy Champ;Problematic;127.2;2014-01-01 09:00:00 UTC
15471;11;Super-X Buggy Champ;OK;50.5;2014-01-01 09:00:00 UTC
15470;12;Super-X Buggy Champ;Problematic;88.6;2014-01-01 09:00:00 UTC
15469;13;Super-X Buggy Champ;OK;15.9;2014-01-01 09:00:00 UTC
15468;14;Super-X Buggy Champ;OK;21.0;2014-01-01 09:00:00 UTC
15467;15;Super-X Buggy Champ;OK;20.6;2014-01-01 09:00:00 UTC
15466;16;Super-X Buggy Champ;OK;24.2;2014-01-01 09:00:00 UTC
15465;17;Super-X Buggy Champ;OK;44.4;2014-01-01 09:00:00 UTC
15464;18;Super-X Buggy Champ;OK;33.0;2014-01-01 09:00:00 UTC
15463;19;Super-X Buggy Champ;OK;25.5;2014-01-01 09:00:00 UTC
15462;20;Super-X Buggy Champ;OK;32.0;2014-01-01 09:00:00 UTC
15461;21;Super-X Buggy Champ;OK;26.2;2014-01-01 09:00:00 UTC
15460;22;Super-X Buggy Champ;OK;11.2;2014-01-01 09:00:00 UTC
15459;23;Super-X Buggy Champ;OK;5.1;2014-01-01 09:00:00 UTC
15458;24;Super-X Buggy Champ;OK;42.0;2014-01-01 09:00:00 UTC
15457;25;Super-X Buggy Champ;OK;24.7;2014-01-01 09:00:00 UTC
15456;26;Super-X Buggy Champ;OK;49.7;2014-01-01 09:00:00 UTC
15455;27;Super-X Buggy Champ;OK;46.3;2014-01-01 09:00:00 UTC
15454;28;Super-X Buggy Champ;OK;16.9;2014-01-01 09:00:00 UTC
15453;29;Super-X Buggy Champ;OK;5.5;2014-01-01 09:00:00 UTC
15452;30;Super-X Buggy Champ;OK;27.6;2014-01-01 09:00:00 UTC
15451;31;Super-X Buggy Champ;OK;50.4;2014-01-01 09:00:00 UTC
15450;32;Super-X Buggy Champ;OK;50.8;2014-01-01 09:00:00 UTC
15449;33;Super-X Buggy Champ;OK;5.4;2014-01-01 09:00:00 UTC
15448;34;Super-X Buggy Champ;OK;54.4;2014-01-01 09:00:00 UTC
15447;35;Super-X Buggy Champ;OK;17.3;2014-01-01 09:00:00 UTC
15446;36;Super-X Buggy Champ;OK;39.5;2014-01-01 09:00:00 UTC
15445;37;Super-X Buggy Champ;OK;43.0;2014-01-01 09:00:00 UTC
15444;38;Super-X Buggy Champ;OK;60.4;2014-01-01 09:00:00 UTC
15443;39;Super-X Buggy Champ;OK;40.9;2014-01-01 09:00:00 UTC
15442;40;Super-X Buggy Champ;OK;62.4;2014-01-01 09:00:00 UTC
15441;41;Super-X Buggy Champ;OK;28.4;2014-01-01 09:00:00 UTC
15440;42;Super-X Buggy Champ;OK;36.0;2014-01-01 09:00:00 UTC
15439;43;Offroad Autobody;OK;44.7;2014-01-01 09:00:00 UTC
15438;44;Offroad Autobody;OK;31.0;2014-01-01 09:00:00 UTC
15437;45;Offroad Autobody;OK;16.2;2014-01-01 09:00:00 UTC
15436;46;Offroad Autobody;OK;12.5;2014-01-01 09:00:00 UTC
15435;47;Offroad Autobody;Problematic;24.6;2014-01-01 09:00:00 UTC
15434;48;BIPM Experts Autobody;OK;28.0;2014-01-01 09:00:00 UTC
15433;49;BIPM Experts Autobody;OK;56.2;2014-01-01 09:00:00 UTC
15432;50;BIPM Experts Autobody;OK;54.6;2014-01-01 09:00:00 UTC
15531;1;Super-X BIPM Expert Racer;Problematic;56.2;2014-01-02 09:00:00 UTC
15530;2;Super-X BIPM Expert Racer;OK;25.6;2014-01-02 09:00:00 UTC
15529;3;Super-X BIPM Expert Racer;OK;61.9;2014-01-02 09:00:00 UTC
15528;4;Super-X BIPM Expert Racer;OK;10.2;2014-01-02 09:00:00 UTC
15527;5;Super-X BIPM Expert Racer;OK;46.8;2014-01-02 09:00:00 UTC
15526;6;Super-X BIPM Expert Racer;OK;12.1;2014-01-02 09:00:00 UTC
15525;7;Super-X BIPM Expert Racer;OK;9.7;2014-01-02 09:00:00 UTC
15524;8;Super-X BIPM Expert Racer;OK;29.5;2014-01-02 09:00:00 UTC
15523;9;Super-X BIPM Expert Racer;OK;25.5;2014-01-02 09:00:00 UTC
15522;10;Super-X BIPM Expert Racer;OK;52.6;2014-01-02 09:00:00 UTC
15521;11;Super-X BIPM Expert Racer;OK;42.1;2014-01-02 09:00:00 UTC
15520;12;Super-X BIPM Expert Racer;OK;29.7;2014-01-02 09:00:00 UTC
15519;13;Super-X BIPM Expert Racer;OK;41.2;2014-01-02 09:00:00 UTC
15518;14;Super-X Booster Beast;OK;47.9;2014-01-02 09:00:00 UTC
15517;15;Super-X Booster Beast;OK;10.1;2014-01-02 09:00:00 UTC
15516;16;Super-X Booster Beast;OK;22.6;2014-01-02 09:00:00 UTC
15515;17;Super-X Booster Beast;Problematic;70.6;2014-01-02 09:00:00 UTC
15514;18;Super-X Booster Beast;OK;19.7;2014-01-02 09:00:00 UTC
15513;19;Super-X Booster Beast;OK;21.0;2014-01-02 09:00:00 UTC
15512;20;Super-X Booster Beast;OK;49.9;2014-01-02 09:00:00 UTC
15511;21;Super-X Booster Beast;OK;27.7;2014-01-02 09:00:00 UTC
15510;22;Super-X Booster Beast;Problematic;94.0;2014-01-02 09:00:00 UTC
15509;23;Super-X Booster Beast;Problematic;23.2;2014-01-02 09:00:00 UTC
15508;24;Super-X Booster Beast;OK;59.7;2014-01-02 09:00:00 UTC
15507;25;Super-X Booster Beast;OK;8.6;2014-01-02 09:00:00 UTC
15506;26;Super-X Booster Beast;OK;51.7;2014-01-02 09:00:00 UTC
15505;27;Super-X Booster Beast;OK;7.1;2014-01-02 09:00:00 UTC
15504;28;Super-X Booster Beast;OK;63.8;2014-01-02 09:00:00 UTC
15503;29;Super-X Booster Beast;OK;35.6;2014-01-02 09:00:00 UTC
15502;30;Super-X Booster Beast;OK;49.3;2014-01-02 09:00:00 UTC
15501;31;Super-X Booster Beast;OK;56.2;2014-01-02 09:00:00 UTC
15500;32;Super-X Booster Beast;OK;10.2;2014-01-02 09:00:00 UTC
15499;33;Super-X Booster Beast;OK;51.1;2014-01-02 09:00:00 UTC
15498;34;Super-X Booster Beast;OK;58.8;2014-01-02 09:00:00 UTC
15497;35;Super-X Booster Beast;OK;46.2;2014-01-02 09:00:00 UTC
15496;36;Super-X Booster Beast;OK;60.9;2014-01-02 09:00:00 UTC
15495;37;Super-X Booster Beast;OK;28.3;2014-01-02 09:00:00 UTC
15494;38;Super-X Booster Beast;Problematic;50.8;2014-01-02 09:00:00 UTC
15493;39;Super-X Booster Beast;OK;61.5;2014-01-02 09:00:00 UTC
15492;40;Super-X Booster Beast;OK;29.5;2014-01-02 09:00:00 UTC
15491;41;Super-X Monster Truck;OK;5.5;2014-01-02 09:00:00 UTC
15490;42;Super-X Monster Truck;Problematic;55.0;2014-01-02 09:00:00 UTC
15489;43;Super-X Monster Truck;OK;18.0;2014-01-02 09:00:00 UTC
15488;44;Super-X Monster Truck;OK;50.4;2014-01-02 09:00:00 UTC
15487;45;Super-X Monster Truck;OK;20.8;2014-01-02 09:00:00 UTC
