Material;Retailer;Quantity;Price;Currency;Timestamp
Super-X BIPM Expert Racer;Tillack, Schwarz und Lichtenfeld;2;54.34;EUR;2016-01-01 09:00:00 UTC
Super-X BIPM Expert Racer;Kiehn Inc;2;59.77;USD;2016-01-01 09:00:00 UTC
Remote Controller 1MHz ;Conte, Bruno e Battaglia e figli;1;11.89;EUR;2016-01-01 09:00:00 UTC
BIPM Experts Logo Stickers;Banasiak-Frączek;3;4.46;PLN;2016-01-01 09:00:00 UTC
Monster Truck Logo Stickers;Ferretti, Monti e Fabbri e figli;3;0.5;EUR;2016-01-01 09:00:00 UTC
Monster Truck Logo Stickers;Rizzi, Messina e Marino SPA;1;0.5;EUR;2016-01-01 09:00:00 UTC
Remote Controller 1MHz ;Daniel-Marvin;6;9.51;GBP;2016-01-01 09:00:00 UTC
Monster Truck Logo Stickers;Villa-Ferretti SPA;3;0.5;EUR;2016-01-01 09:00:00 UTC
RemoCe tontroller 2-Channel 2MHz;Villa-Ferretti SPA;7;23.5;EUR;2016-01-01 09:00:00 UTC
Remote Controller 1MHz ;Szyszka, Zajączkowski and Borowiec;2;53.51;PLN;2016-01-01 09:00:00 UTC
Super-X Buggy Champ;Grimes-Kautzer;2;151.27;USD;2016-01-01 09:00:00 UTC
Receiver Channel 1MHz;Bechtelar Inc;9;12.11;CAD;2016-01-01 09:00:00 UTC
Super-X Offroad Car;Bechtelar Inc;3;169.15;CAD;2016-01-01 09:00:00 UTC
Tire 20 mm;Ruiter-Stichting;1;1.2;EUR;2016-01-01 09:00:00 UTC
Super-X Offroad Car;Bétancourt Murillo e Hijos;2;120.82;EUR;2016-01-01 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Fernández, Botello y Cedillo Asociados;11;23.5;EUR;2016-01-04 09:00:00 UTC
Offroad Logo Stickers;Patzwahl-Harting;2;0.5;EUR;2016-01-04 09:00:00 UTC
Receiver 2-Channel 2MHz;Patzwahl-Harting;5;15.9;EUR;2016-01-04 09:00:00 UTC
BIPM Experts Logo Stickers;Charles et Lucas;1;0.99;EUR;2016-01-04 09:00:00 UTC
BIPM Expeots Lrgo Stickers;Schowalter, Doyle and Hermiston;3;0.79;GBP;2016-01-04 09:00:00 UTC
Booster Beast Logo Stickers;Kisabaka-Saldek;4;0.5;EUR;2016-01-04 09:00:00 UTC
Booster Beast Logo Stickers;Kreiger-Tremblay;2;0.55;USD;2016-01-04 09:00:00 UTC
Monster Truck Logo Stickers;Osinski and Sons;2;0.55;USD;2016-01-04 09:00:00 UTC
Booster Beast Logo Stickers;Schuppe, Feil and Flatley;5;0.55;USD;2016-01-04 09:00:00 UTC
Buggy Logo Stickers;Schuppe, Feil and Flatley;2;0.55;USD;2016-01-04 09:00:00 UTC
Super-X Booster Beast;Abreu y Vázquez;8;106.09;EUR;2016-01-04 09:00:00 UTC
