Material;Retailer;Quantity;Price;Currency;Timestamp
Tire 20 mm;Harber-Wilderman;3;0.96;GBP;2012-01-02 09:00:00 UTC
Super-X BIPM Expert Racer;Harber-Wilderman;2;43.47;GBP;2012-01-02 09:00:00 UTC
Offroad Logo Stickers;Kautzer, Jast and Borer;1;0.7;CAD;2012-01-02 09:00:00 UTC
Super-X Buggy Champ;Charles et Lucas;2;137.52;EUR;2012-01-02 09:00:00 UTC
Booster Beast Logo Stickers;Charles et Lucas;1;0.5;EUR;2012-01-02 09:00:00 UTC
Super-X BIPM Expert Racer;Schowalter, Doyle and Hermiston;2;43.47;GBP;2012-01-02 09:00:00 UTC
Booster Beast Logo Stickers;Jungton, Aschenbroich und Hübenbecker;2;0.5;EUR;2012-01-02 09:00:00 UTC
Receiver 2-Channel M2Hz;Jungt n,oAschenbroich und Hübenbecker;2;15.9;EUR;2012-01-02 09:00:00 UTC
Remote Controller 2-Channel 2MHz;Gałązka LLC;2;105.75;PLN;2012-01-02 09:00:00 UTC
Offroad Logo Stickers;Kisabaka-Sladek;2;0.5;EUR;2012-01-02 09:00:00 UTC
Receiver 2-Channel 2MHz;Bonnet SAS;3;15.9;EUR;2012-01-02 09:00:00 UTC
Motor 12V;Bonnet SAS;3;8.6;EUR;2012-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Boer, Kok and Dam;3;0.5;EUR;2012-01-02 09:00:00 UTC
Monster Truck Logo Stickers;Kreiger-Tremblay;2;0.55;USD;2012-01-02 09:00:00 UTC
BIPM Experts Logo Sticksre;Lehner Group;3;1.39;CAD;2012-01-02 09:00:00 UTC
Super-t MonsXer Truck;Lehner Group;4;264.75;CAD;2012-01-02 09:00:00 UTC
Tire 20 mm;Schuppe, Feil and Flatley;3;1.32;USD;2012-01-02 09:00:00 UTC
Sup-reX Booster Beast;Ernser, Mills and Friesen;10;116.7;USD;2012-01-02 09:00:00 UTC
Super-X Offroad Car;Rath, Schuppe and Runte;2;132.9;USD;2012-01-02 09:00:00 UTC
